page_id__geo	page_id_pag	page_title	page_namespace	page_len	last_edit_timestamp	geo_tag_id	gt_primary	gt_lat	gt_lon	gt_country	gt_region	gt_globe	first_edit_timestamp	edits	minor_edits	language
2494031	2494031	Disturbio_de_Brixton_de_1981	0	13707	20160128194701	51743399	1	51.45985000	-0.11038000			earth	20090512231843	24	14	es
2523465	2523465	Gay's_the_Word	0	10386	20150626154255	51743800	1	51.52536100	-0.12537900			earth	20090525175022	23	17	es
2650735	2650735	8_Canada_Square	0	2691	20160625125516	51745087	1	51.50527778	-0.01738889	GB		earth	20090708043419	6	20	es
2650792	2650792	Citigroup_Centre	0	3354	20160625125151	51745091	1	51.50400000	-0.01780556	GB		earth	20090708055426	4	22	es
2803340	2803340	100_Club	0	4704	20150124030944	51746016	1	51.51611111	-0.13536111			earth	20090815195026	11	25	es
3188113	3188113	Marismas_de_Tottenham	0	3798	20161218171644	51749314	1	51.59593100	-0.05383200			earth	20100102131533	5	12	es
3305164	3305164	East_End_de_Londres	0	2255	20160918125537	51750203	1	51.51666667	-0.05000000	GB		earth	20100205200959	29	20	es
3963676	3963676	Claridge's	0	6556	20160223161502	51755379	1	51.51250000	-0.14760000			earth	20100616175428	58	17	es
4013101	4013101	Astoria_(estudio_de_grabación)	0	2652	20151205204721	51755898	1	51.41191944	-0.35810000	GB		earth	20100627033500	5	8	es
4607262	4607262	Real_Academia_Militar_de_Woolwich	0	3260	20161222114442	51788032	1	51.47500000	0.05750000	GB	GRE	earth	20110428183315	6	13	es
4719445	4719445	British_Institution	0	2792	20140525045650	51817582	1	51.50583333	-0.13694444	GB	WSM	earth	20110703151836	3	6	es
4851290	4851290	Biblioteca_Cotton	0	17077	20161124145551	51864261	1	51.52944444	-0.12694444	GB		earth	20110912090200	16	36	es
4847668	4847668	Hospital_Saint_Thomas	0	3948	20151112171452	51864267	1	51.49910000	-0.11891000			earth	20110909161540	23	11	es
5076419	5076419	Roundhouse	0	3724	20160225181609	51868747	1	51.54311111	-0.15191667			earth	20120211232410	8	9	es
6032705	6032705	Inundación_de_cerveza_de_Londres	0	3217	20150816112638	51884062	1	51.51666667	-0.13027778			earth	20131019225039	3	4	es
6091174	6091174	Docklands	0	18630	20151126221156	51884757	1	51.50500000	-0.01805556	GB		earth	20131204112321	19	1	es
6148960	6148960	Crematorio_de_Golders_Green	0	35926	20170126161954	51885424	1	51.57722222	-0.19361111	GB		earth	20140118180551	83	11	es
6391077	6391077	Jardines_de_Vauxhall	0	9636	20160924090305	51890843	1	51.48666667	-0.12183333			earth	20140808101522	5	3	es
6393134	6393134	White_Cube	0	4439	20170130050621	51890968	1	51.49970000	-0.08186400			earth	20140810214215	1	2	es
